idRacine,Racine,E1,E2,E3,E5,E6,NBLettre
1,أبب,أ,ب,ب,,,3
2,أبد,أ,ب,د,,,3
3,أبل,أ,ب,ل,,,3
4,أبق,أ,ب,ق,,,3
5,أبر,أ,ب,ر,,,3
6,أبو,أ,ب,و,,,3
7,أبي,أ,ب,ي,,,3
8,أدد,أ,د,د,,,3
9,أدم,أ,د,م,,,3
10,أدي,أ,د,ي,,,3
11,أفف,أ,ف,ف,,,3
12,أفك,أ,ف,ك,,,3
13,أفل,أ,ف,ل,,,3
14,أفق,أ,ف,ق,,,3
15,أهل,أ,ه,ل,,,3
16,أحد,أ,ح,د,,,3
17,أجج,أ,ج,ج,,,3
18,أجل,أ,ج,ل,,,3
19,أجر,أ,ج,ر,,,3
20,أكل,أ,ك,ل,,,3
21,أخر,أ,خ,ر,,,3
22,أخذ,أ,خ,ذ,,,3
23,أخو,أ,خ,و,,,3
24,ألف,أ,ل,ف,,,3
25,أله,أ,ل,ه,,,3
26,ألل,أ,ل,ل,,,3
27,أللأ,أ,ل,ل,,,4
28,أللت,أ,ل,ل,,,4
29,أللذ,أ,ل,ل,,,4
30,ألم,أ,ل,م,,,3
31,ألمر,أ,ل,م,,,4
32,ألمص,أ,ل,م,,,4
33,ألر,أ,ل,ر,,,3
34,ألت,أ,ل,ت,,,3
35,ألول,أ,ل,و,,,4
36,ألي,أ,ل,ي,,,3
37,أم,أ,م,,,,2
38,أمد,أ,م,د,,,3
39,أمل,أ,م,ل,,,3
40,أمم,أ,م,م,,,3
41,أممأ,أ,م,م,,,4
42,أمن,أ,م,ن,,,3
43,أمر,أ,م,ر,,,3
44,أمس,أ,م,س,,,3
45,أمت,أ,م,ت,,,3
46,أمو,أ,م,و,,,3
47,أن,أ,ن,,,,2
48,أنأ,أ,ن,أ,,,3
49,أنف,أ,ن,ف,,,3
50,أنم,أ,ن,م,,,3
51,أنن,أ,ن,ن,,,3
52,أننم,أ,ن,ن,,,4
53,أنني,أ,ن,ن,,,4
54,أنس,أ,ن,س,,,3
55,أنت,أ,ن,ت,,,3
56,أنتم,أ,ن,ت,,,4
57,أنث,أ,ن,ث,,,3
58,أنو,أ,ن,و,,,3
59,أني,أ,ن,ي,,,3
60,أرب,أ,ر,ب,,,3
61,أرض,أ,ر,ض,,,3
62,أرك,أ,ر,ك,,,3
63,أرم,أ,ر,م,,,3
64,أصل,أ,ص,ل,,,3
65,أصر,أ,ص,ر,,,3
66,أشر,أ,ش,ر,,,3
67,أسف,أ,س,ف,,,3
68,أسم,أ,س,م,,,3
69,أسن,أ,س,ن,,,3
70,أسر,أ,س,ر,,,3
71,أسس,أ,س,س,,,3
72,أسي,أ,س,ي,,,3
73,أتي,أ,ت,ي,,,3
74,أثل,أ,ث,ل,,,3
75,أثم,أ,ث,م,,,3
76,أثر,أ,ث,ر,,,3
77,أثث,أ,ث,ث,,,3
78,أذ,أ,ذ,,,,2
79,أذأ,أ,ذ,أ,,,3
80,أذن,أ,ذ,ن,,,3
81,أذي,أ,ذ,ي,,,3
82,أو,أ,و,,,,2
83,أوب,أ,و,ب,,,3
84,أود,أ,و,د,,,3
85,أوه,أ,و,ه,,,3
86,أول,أ,و,ل,,,3
87,أولأ,أ,و,ل,,,4
88,أوي,أ,و,ي,,,3
89,أي,أ,ي,,,,2
90,أيأ,أ,ي,أ,,,3
91,أيب,أ,ي,ب,,,3
92,أيد,أ,ي,د,,,3
93,أيك,أ,ي,ك,,,3
94,أيم,أ,ي,م,,,3
95,أين,أ,ي,ن,,,3
96,أيي,أ,ي,ي,,,3
97,أزف,أ,ز,ف,,,3
98,أزر,أ,ز,ر,,,3
99,أزز,أ,ز,ز,,,3
100,عبأ,ع,ب,أ,,,3
101,عبد,ع,ب,د,,,3
102,عبقر,ع,ب,ق,,,4
103,عبر,ع,ب,ر,,,3
104,عبس,ع,ب,س,,,3
105,عبث,ع,ب,ث,,,3
106,عضض,ع,ض,ض,,,3
107,عضد,ع,ض,د,,,3
108,عضه,ع,ض,ه,,,3
109,عضل,ع,ض,ل,,,3
110,عدد,ع,د,د,,,3
111,عدل,ع,د,ل,,,3
112,عدن,ع,د,ن,,,3
113,عدس,ع,د,س,,,3
114,عدو,ع,د,و,,,3
115,عفف,ع,ف,ف,,,3
116,عفر,ع,ف,ر,,,3
117,عفو,ع,ف,و,,,3
118,عهد,ع,ه,د,,,3
119,عهن,ع,ه,ن,,,3
120,عجب,ع,ج,ب,,,3
121,عجف,ع,ج,ف,,,3
122,عجل,ع,ج,ل,,,3
123,عجم,ع,ج,م,,,3
124,عجز,ع,ج,ز,,,3
125,عكف,ع,ك,ف,,,3
126,علم,ع,ل,م,,,3
127,علن,ع,ل,ن,,,3
128,علق,ع,ل,ق,,,3
129,علو,ع,ل,و,,,3
130,علي,ع,ل,ي,,,3
131,عمد,ع,م,د,,,3
132,عمه,ع,م,ه,,,3
133,عمل,ع,م,ل,,,3
134,عمم,ع,م,م,,,3
135,عممأ,ع,م,م,,,4
136,عمق,ع,م,ق,,,3
137,عمر,ع,م,ر,,,3
138,عمي,ع,م,ي,,,3
139,عن,ع,ن,,,,2
140,عنب,ع,ن,ب,,,3
141,عند,ع,ن,د,,,3
142,عنكب,ع,ن,ك,,,4
143,عنق,ع,ن,ق,,,3
144,عنت,ع,ن,ت,,,3
145,عني,ع,ن,ي,,,3
146,عقب,ع,ق,ب,,,3
147,عقد,ع,ق,د,,,3
148,عقل,ع,ق,ل,,,3
149,عقم,ع,ق,م,,,3
150,عقر,ع,ق,ر,,,3
151,عرب,ع,ر,ب,,,3
152,عرض,ع,ر,ض,,,3
153,عرف,ع,ر,ف,,,3
154,عرج,ع,ر,ج,,,3
155,عرجو,ع,ر,ج,,,4
156,عرم,ع,ر,م,,,3
157,عرر,ع,ر,ر,,,3
158,عرش,ع,ر,ش,,,3
159,عرو,ع,ر,و,,,3
160,عري,ع,ر,ي,,,3
161,عصب,ع,ص,ب,,,3
162,عصف,ع,ص,ف,,,3
163,عصم,ع,ص,م,,,3
164,عصر,ع,ص,ر,,,3
165,عصو,ع,ص,و,,,3
166,عصي,ع,ص,ي,,,3
167,عشر,ع,ش,ر,,,3
168,عشي,ع,ش,ي,,,3
169,عسعس,ع,س,ع,,,4
170,عسل,ع,س,ل,,,3
171,عسق,ع,س,ق,,,3
172,عسر,ع,س,ر,,,3
173,عسي,ع,س,ي,,,3
174,عتب,ع,ت,ب,,,3
175,عتد,ع,ت,د,,,3
176,عتل,ع,ت,ل,,,3
177,عتق,ع,ت,ق,,,3
178,عتو,ع,ت,و,,,3
179,عطف,ع,ط,ف,,,3
180,عطل,ع,ط,ل,,,3
181,عطو,ع,ط,و,,,3
182,عثر,ع,ث,ر,,,3
183,عثو,ع,ث,و,,,3
184,عذب,ع,ذ,ب,,,3
185,عذر,ع,ذ,ر,,,3
186,عود,ع,و,د,,,3
187,عوج,ع,و,ج,,,3
188,عول,ع,و,ل,,,3
189,عوم,ع,و,م,,,3
190,عون,ع,و,ن,,,3
191,عوق,ع,و,ق,,,3
192,عور,ع,و,ر,,,3
193,عوذ,ع,و,ذ,,,3
194,عيب,ع,ي,ب,,,3
195,عيل,ع,ي,ل,,,3
196,عين,ع,ي,ن,,,3
197,عير,ع,ي,ر,,,3
198,عيش,ع,ي,ش,,,3
199,عيس,ع,ي,س,,,3
200,عيي,ع,ي,ي,,,3
201,عظم,ع,ظ,م,,,3
202,عزب,ع,ز,ب,,,3
203,عزل,ع,ز,ل,,,3
204,عزم,ع,ز,م,,,3
205,عزر,ع,ز,ر,,,3
206,عزي,ع,ز,ي,,,3
207,عزز,ع,ز,ز,,,3
208,ب,ب,,,,,1
209,بأب,ب,أ,ب,,,3
210,بأر,ب,أ,ر,,,3
211,بأس,ب,أ,س,,,3
212,بعض,ب,ع,ض,,,3
213,بعد,ب,ع,د,,,3
214,بعل,ب,ع,ل,,,3
215,بعر,ب,ع,ر,,,3
216,بعث,ب,ع,ث,,,3
217,بعثر,ب,ع,ث,,,4
218,بضع,ب,ض,ع,,,3
219,بدأ,ب,د,أ,,,3
220,بدع,ب,د,ع,,,3
221,بدل,ب,د,ل,,,3
222,بدن,ب,د,ن,,,3
223,بدر,ب,د,ر,,,3
224,بدو,ب,د,و,,,3
225,بغض,ب,غ,ض,,,3
226,بغل,ب,غ,ل,,,3
227,بغت,ب,غ,ت,,,3
228,بغي,ب,غ,ي,,,3
229,بهج,ب,ه,ج,,,3
230,بهل,ب,ه,ل,,,3
231,بهم,ب,ه,م,,,3
232,بهت,ب,ه,ت,,,3
233,بحر,ب,ح,ر,,,3
234,بحث,ب,ح,ث,,,3
235,بجس,ب,ج,س,,,3
236,بكك,ب,ك,ك,,,3
237,بكم,ب,ك,م,,,3
238,بكر,ب,ك,ر,,,3
239,بكي,ب,ك,ي,,,3
240,بخع,ب,خ,ع,,,3
241,بخل,ب,خ,ل,,,3
242,بخس,ب,خ,س,,,3
243,بل,ب,ل,,,,2
244,بلع,ب,ل,ع,,,3
245,بلد,ب,ل,د,,,3
246,بلغ,ب,ل,غ,,,3
247,بلس,ب,ل,س,,,3
248,بلو,ب,ل,و,,,3
249,بلي,ب,ل,ي,,,3
250,بم,ب,م,,,,2
251,بمأ,ب,م,أ,,,3
252,بنأ,ب,ن,أ,,,3
253,بنن,ب,ن,ن,,,3
254,بنو,ب,ن,و,,,3
255,بقع,ب,ق,ع,,,3
256,بقل,ب,ق,ل,,,3
257,بقر,ب,ق,ر,,,3
258,بقي,ب,ق,ي,,,3
259,برأ,ب,ر,أ,,,3
260,برد,ب,ر,د,,,3
261,برهن,ب,ر,ه,,,4
262,برح,ب,ر,ح,,,3
263,برج,ب,ر,ج,,,3
264,برك,ب,ر,ك,,,3
265,برم,ب,ر,م,,,3
266,برق,ب,ر,ق,,,3
267,برر,ب,ر,ر,,,3
268,برص,ب,ر,ص,,,3
269,برز,ب,ر,ز,,,3
270,برزخ,ب,ر,ز,,,4
271,بصل,ب,ص,ل,,,3
272,بصر,ب,ص,ر,,,3
273,بشر,ب,ش,ر,,,3
274,بسل,ب,س,ل,,,3
275,بسم,ب,س,م,,,3
276,بسق,ب,س,ق,,,3
277,بسر,ب,س,ر,,,3
278,بسس,ب,س,س,,,3
279,بسط,ب,س,ط,,,3
280,بتك,ب,ت,ك,,,3
281,بتل,ب,ت,ل,,,3
282,بتر,ب,ت,ر,,,3
283,بطأ,ب,ط,أ,,,3
284,بطل,ب,ط,ل,,,3
285,بطن,ب,ط,ن,,,3
286,بطر,ب,ط,ر,,,3
287,بطش,ب,ط,ش,,,3
288,بثث,ب,ث,ث,,,3
289,بذر,ب,ذ,ر,,,3
290,بوأ,ب,و,أ,,,3
291,بوب,ب,و,ب,,,3
292,بول,ب,و,ل,,,3
293,بور,ب,و,ر,,,3
294,بيع,ب,ي,ع,,,3
295,بيض,ب,ي,ض,,,3
296,بيد,ب,ي,د,,,3
297,بين,ب,ي,ن,,,3
298,بيت,ب,ي,ت,,,3
299,بزغ,ب,ز,غ,,,3
300,ضأن,ض,أ,ن,,,3
301,ضعف,ض,ع,ف,,,3
302,ضبح,ض,ب,ح,,,3
303,ضدد,ض,د,د,,,3
304,ضفدع,ض,ف,د,,,4
305,ضغن,ض,غ,ن,,,3
306,ضغث,ض,غ,ث,,,3
307,ضهي,ض,ه,ي,,,3
308,ضحك,ض,ح,ك,,,3
309,ضحو,ض,ح,و,,,3
310,ضجع,ض,ج,ع,,,3
311,ضلل,ض,ل,ل,,,3
312,ضمم,ض,م,م,,,3
313,ضمر,ض,م,ر,,,3
314,ضنك,ض,ن,ك,,,3
315,ضنن,ض,ن,ن,,,3
316,ضرع,ض,ر,ع,,,3
317,ضرب,ض,ر,ب,,,3
318,ضرر,ض,ر,ر,,,3
319,ضوأ,ض,و,أ,,,3
320,ضورر,ض,و,ر,,,4
321,ضيع,ض,ي,ع,,,3
322,ضيف,ض,ي,ف,,,3
323,ضيق,ض,ي,ق,,,3
324,ضيز,ض,ي,ز,,,3
325,دأب,د,أ,ب,,,3
326,دعع,د,ع,ع,,,3
327,دعو,د,ع,و,,,3
328,دبب,د,ب,ب,,,3
329,دبر,د,ب,ر,,,3
330,دفأ,د,ف,أ,,,3
331,دفع,د,ف,ع,,,3
332,دفق,د,ف,ق,,,3
333,دهم,د,ه,م,,,3
334,دهن,د,ه,ن,,,3
335,دهق,د,ه,ق,,,3
336,دهر,د,ه,ر,,,3
337,دهي,د,ه,ي,,,3
338,دحض,د,ح,ض,,,3
339,دحر,د,ح,ر,,,3
340,دحو,د,ح,و,,,3
341,دكك,د,ك,ك,,,3
342,دخل,د,خ,ل,,,3
343,دخن,د,خ,ن,,,3
344,دخر,د,خ,ر,,,3
345,دلك,د,ل,ك,,,3
346,دلل,د,ل,ل,,,3
347,دلو,د,ل,و,,,3
348,دمع,د,م,ع,,,3
349,دمدم,د,م,د,,,4
350,دمغ,د,م,غ,,,3
351,دمر,د,م,ر,,,3
352,دمي,د,م,ي,,,3
353,دنر,د,ن,ر,,,3
354,دنو,د,ن,و,,,3
355,درأ,د,ر,أ,,,3
356,درهم,د,ر,ه,,,4
357,درج,د,ر,ج,,,3
358,درك,د,ر,ك,,,3
359,درر,د,ر,ر,,,3
360,درس,د,ر,س,,,3
361,دري,د,ر,ي,,,3
362,دسر,د,س,ر,,,3
363,دسس,د,س,س,,,3
364,دسو,د,س,و,,,3
365,دثر,د,ث,ر,,,3
366,دود,د,و,د,,,3
367,دول,د,و,ل,,,3
368,دوم,د,و,م,,,3
369,دون,د,و,ن,,,3
370,دور,د,و,ر,,,3
371,دين,د,ي,ن,,,3
372,فأد,ف,أ,د,,,3
373,فأو,ف,أ,و,,,3
374,فعل,ف,ع,ل,,,3
375,فضض,ف,ض,ض,,,3
376,فضح,ف,ض,ح,,,3
377,فضل,ف,ض,ل,,,3
378,فضي,ف,ض,ي,,,3
379,فدي,ف,د,ي,,,3
380,فهم,ف,ه,م,,,3
381,فحش,ف,ح,ش,,,3
382,فجج,ف,ج,ج,,,3
383,فجر,ف,ج,ر,,,3
384,فجو,ف,ج,و,,,3
385,فكه,ف,ك,ه,,,3
386,فكك,ف,ك,ك,,,3
387,فكر,ف,ك,ر,,,3
388,فخر,ف,خ,ر,,,3
389,فلح,ف,ل,ح,,,3
390,فلك,ف,ل,ك,,,3
391,فلن,ف,ل,ن,,,3
392,فلق,ف,ل,ق,,,3
393,فند,ف,ن,د,,,3
394,فنن,ف,ن,ن,,,3
395,فني,ف,ن,ي,,,3
396,فقع,ف,ق,ع,,,3
397,فقد,ف,ق,د,,,3
398,فقه,ف,ق,ه,,,3
399,فقر,ف,ق,ر,,,3
400,فرع,ف,ر,ع,,,3
401,فرض,ف,ر,ض,,,3
402,فرد,ف,ر,د,,,3
403,فردس,ف,ر,د,,,4
404,فرغ,ف,ر,غ,,,3
405,فره,ف,ر,ه,,,3
406,فرح,ف,ر,ح,,,3
407,فرج,ف,ر,ج,,,3
408,فرق,ف,ر,ق,,,3
409,فرر,ف,ر,ر,,,3
410,فرش,ف,ر,ش,,,3
411,فرت,ف,ر,ت,,,3
412,فرط,ف,ر,ط,,,3
413,فرث,ف,ر,ث,,,3
414,فري,ف,ر,ي,,,3
415,فصح,ف,ص,ح,,,3
416,فصل,ف,ص,ل,,,3
417,فصم,ف,ص,م,,,3
418,فشل,ف,ش,ل,,,3
419,فسد,ف,س,د,,,3
420,فسح,ف,س,ح,,,3
421,فسق,ف,س,ق,,,3
422,فسر,ف,س,ر,,,3
423,فتأ,ف,ت,أ,,,3
424,فتح,ف,ت,ح,,,3
425,فتل,ف,ت,ل,,,3
426,فتن,ف,ت,ن,,,3
427,فتق,ف,ت,ق,,,3
428,فتر,ف,ت,ر,,,3
429,فتي,ف,ت,ي,,,3
430,فطر,ف,ط,ر,,,3
431,فوض,ف,و,ض,,,3
432,فوه,ف,و,ه,,,3
433,فوج,ف,و,ج,,,3
434,فوم,ف,و,م,,,3
435,فوق,ف,و,ق,,,3
436,فور,ف,و,ر,,,3
437,فوت,ف,و,ت,,,3
438,فوز,ف,و,ز,,,3
439,في,ف,ي,,,,2
440,فيأ,ف,ي,أ,,,3
441,فيض,ف,ي,ض,,,3
442,فيل,ف,ي,ل,,,3
443,فظظ,ف,ظ,ظ,,,3
444,فزع,ف,ز,ع,,,3
445,فزز,ف,ز,ز,,,3
446,غبن,غ,ب,ن,,,3
447,غبر,غ,ب,ر,,,3
448,غضب,غ,ض,ب,,,3
449,غضض,غ,ض,ض,,,3
450,غدق,غ,د,ق,,,3
451,غدر,غ,د,ر,,,3
452,غدو,غ,د,و,,,3
453,غفل,غ,ف,ل,,,3
454,غفر,غ,ف,ر,,,3
455,غلب,غ,ل,ب,,,3
456,غلف,غ,ل,ف,,,3
457,غلل,غ,ل,ل,,,3
458,غلم,غ,ل,م,,,3
459,غلق,غ,ل,ق,,,3
460,غلو,غ,ل,و,,,3
461,غلي,غ,ل,ي,,,3
462,غلظ,غ,ل,ظ,,,3
463,غمض,غ,م,ض,,,3
464,غمم,غ,م,م,,,3
465,غمر,غ,م,ر,,,3
466,غمز,غ,م,ز,,,3
467,غنم,غ,ن,م,,,3
468,غني,غ,ن,ي,,,3
469,غرب,غ,ر,ب,,,3
470,غرف,غ,ر,ف,,,3
471,غرم,غ,ر,م,,,3
472,غرق,غ,ر,ق,,,3
473,غرر,غ,ر,ر,,,3
474,غرو,غ,ر,و,,,3
475,غصب,غ,ص,ب,,,3
476,غصص,غ,ص,ص,,,3
477,غشي,غ,ش,ي,,,3
478,غسل,غ,س,ل,,,3
479,غسق,غ,س,ق,,,3
480,غطش,غ,ط,ش,,,3
481,غطي,غ,ط,ي,,,3
482,غثأ,غ,ث,أ,,,3
483,غول,غ,و,ل,,,3
484,غور,غ,و,ر,,,3
485,غوص,غ,و,ص,,,3
486,غوط,غ,و,ط,,,3
487,غوث,غ,و,ث,,,3
488,غوي,غ,و,ي,,,3
489,غيب,غ,ي,ب,,,3
490,غيض,غ,ي,ض,,,3
491,غير,غ,ي,ر,,,3
492,غيظ,غ,ي,ظ,,,3
493,غزل,غ,ز,ل,,,3
494,غزو,غ,ز,و,,,3
495,هأأ,ه,أ,أ,,,3
496,هأه,ه,أ,ه,,,3
497,هأك,ه,أ,ك,,,3
498,هأت,ه,أ,ت,,,3
499,هأتي,ه,أ,ت,,,4
500,هأذ,ه,أ,ذ,,,3
501,هبط,ه,ب,ط,,,3
502,هبو,ه,ب,و,,,3
503,هضم,ه,ض,م,,,3
504,هدد,ه,د,د,,,3
505,هدهد,ه,د,ه,,,4
506,هدم,ه,د,م,,,3
507,هدي,ه,د,ي,,,3
508,هجع,ه,ج,ع,,,3
509,هجد,ه,ج,د,,,3
510,هجر,ه,ج,ر,,,3
511,هل,ه,ل,,,,2
512,هلع,ه,ل,ع,,,3
513,هلك,ه,ل,ك,,,3
514,هلل,ه,ل,ل,,,3
515,هلم,ه,ل,م,,,3
516,هم,ه,م,,,,2
517,همأ,ه,م,أ,,,3
518,همد,ه,م,د,,,3
519,همم,ه,م,م,,,3
520,همن,ه,م,ن,,,3
521,همر,ه,م,ر,,,3
522,همس,ه,م,س,,,3
523,همز,ه,م,ز,,,3
524,هن,ه,ن,,,,2
525,هنك,ه,ن,ك,,,3
526,هني,ه,ن,ي,,,3
527,هرع,ه,ر,ع,,,3
528,هرب,ه,ر,ب,,,3
529,هرن,ه,ر,ن,,,3
530,هرت,ه,ر,ت,,,3
531,هشم,ه,ش,م,,,3
532,هشش,ه,ش,ش,,,3
533,هطع,ه,ط,ع,,,3
534,هو,ه,و,,,,2
535,هود,ه,و,د,,,3
536,هون,ه,و,ن,,,3
537,هور,ه,و,ر,,,3
538,هوي,ه,و,ي,,,3
539,هي,ه,ي,,,,2
540,هيأ,ه,ي,أ,,,3
541,هيه,ه,ي,ه,,,3
542,هيهأ,ه,ي,ه,,,4
543,هيج,ه,ي,ج,,,3
544,هيل,ه,ي,ل,,,3
545,هيم,ه,ي,م,,,3
546,هيت,ه,ي,ت,,,3
547,هزأ,ه,ز,أ,,,3
548,هزل,ه,ز,ل,,,3
549,هزم,ه,ز,م,,,3
550,هزز,ه,ز,ز,,,3
551,حبب,ح,ب,ب,,,3
552,حبك,ح,ب,ك,,,3
553,حبل,ح,ب,ل,,,3
554,حبر,ح,ب,ر,,,3
555,حبس,ح,ب,س,,,3
556,حبط,ح,ب,ط,,,3
557,حضض,ح,ض,ض,,,3
558,حضر,ح,ض,ر,,,3
559,حدب,ح,د,ب,,,3
560,حدد,ح,د,د,,,3
561,حدق,ح,د,ق,,,3
562,حدث,ح,د,ث,,,3
563,حفد,ح,ف,د,,,3
564,حفف,ح,ف,ف,,,3
565,حفر,ح,ف,ر,,,3
566,حفي,ح,ف,ي,,,3
567,حفظ,ح,ف,ظ,,,3
568,حجب,ح,ج,ب,,,3
569,حجج,ح,ج,ج,,,3
570,حجر,ح,ج,ر,,,3
571,حجز,ح,ج,ز,,,3
572,حكم,ح,ك,م,,,3
573,حلف,ح,ل,ف,,,3
574,حلل,ح,ل,ل,,,3
575,حلم,ح,ل,م,,,3
576,حلق,ح,ل,ق,,,3
577,حلقم,ح,ل,ق,,,4
578,حلي,ح,ل,ي,,,3
579,حم,ح,م,,,,2
580,حمأ,ح,م,أ,,,3
581,حمد,ح,م,د,,,3
582,حمل,ح,م,ل,,,3
583,حمم,ح,م,م,,,3
584,حمر,ح,م,ر,,,3
585,حمي,ح,م,ي,,,3
586,حنف,ح,ن,ف,,,3
587,حنجر,ح,ن,ج,,,4
588,حنك,ح,ن,ك,,,3
589,حنن,ح,ن,ن,,,3
590,حنث,ح,ن,ث,,,3
591,حنذ,ح,ن,ذ,,,3
592,حني,ح,ن,ي,,,3
593,حقب,ح,ق,ب,,,3
594,حقف,ح,ق,ف,,,3
595,حقق,ح,ق,ق,,,3
596,حرب,ح,ر,ب,,,3
597,حرض,ح,ر,ض,,,3
598,حرد,ح,ر,د,,,3
599,حرف,ح,ر,ف,,,3
600,حرج,ح,ر,ج,,,3
601,حرك,ح,ر,ك,,,3
602,حرم,ح,ر,م,,,3
603,حرق,ح,ر,ق,,,3
604,حرر,ح,ر,ر,,,3
605,حرص,ح,ر,ص,,,3
606,حرس,ح,ر,س,,,3
607,حرث,ح,ر,ث,,,3
608,حري,ح,ر,ي,,,3
609,حصب,ح,ص,ب,,,3
610,حصد,ح,ص,د,,,3
611,حصحص,ح,ص,ح,,,4
612,حصل,ح,ص,ل,,,3
613,حصن,ح,ص,ن,,,3
614,حصر,ح,ص,ر,,,3
615,حصي,ح,ص,ي,,,3
616,حشر,ح,ش,ر,,,3
